JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_7PASTE,TAT_8AGING
0,86,220.0,83.0,74,160.0,416.0,6900.0,6447.0,530.0,76.0,333.0,88.0,396.0,86.0,7140.0,0.0,10074.0
0,86,210.0,84.0,71,150.0,372.0,6693.0,6600.0,530.0,80.0,438.0,82.0,381.0,84.0,6956.0,0.0,10075.0
0,78,220.0,78.0,69,148.0,368.0,6747.0,6597.0,530.0,80.0,420.0,92.0,396.0,86.0,6840.0,0.0,10645.0
0,86,210.0,84.0,69,178.0,416.0,7137.0,6420.0,530.0,78.0,429.0,78.0,399.0,90.0,6720.0,0.0,10076.0
0,86,210.0,84.0,69,132.0,380.0,7527.0,6453.0,540.0,76.0,363.0,82.0,393.0,84.0,7110.0,0.0,10074.0
0,78,240.0,80.0,69,148.0,340.0,6747.0,6660.0,540.0,80.0,438.0,76.0,396.0,88.0,6810.0,0.0,9748.0
0,87,200.0,88.0,75,150.0,352.0,7113.0,6480.0,540.0,82.0,387.0,78.0,324.0,86.0,7110.0,0.0,9751.0
0,87,200.0,88.0,75,150.0,352.0,7113.0,6480.0,540.0,76.0,390.0,78.0,345.0,84.0,7110.0,0.0,9751.0
0,86,210.0,85.0,75,190.0,332.0,7107.0,6453.0,540.0,78.0,390.0,78.0,330.0,84.0,7080.0,0.0,10075.0
0,88,220.0,86.0,69,146.0,384.0,6993.0,6453.0,530.0,76.0,399.0,78.0,396.0,84.0,7110.0,0.0,10074.0
0,86,220.0,84.0,72,150.0,380.0,6867.0,6513.0,530.0,80.0,366.0,78.0,399.0,84.0,7140.0,0.0,9750.0
0,89,210.0,84.0,69,178.0,364.0,6687.0,6600.0,540.0,98.0,429.0,78.0,399.0,84.0,6960.0,0.0,10074.0
1,80,230.0,84.0,72,150.0,396.0,6780.0,6540.0,530.0,80.0,387.0,78.0,306.0,78.0,6870.0,0.0,10074.0
0,88,220.0,84.0,69,150.0,384.0,6840.0,6513.0,530.0,78.0,393.0,76.0,399.0,84.0,7140.0,0.0,10076.0
0,86,210.0,82.0,72,148.0,352.0,7440.0,6573.0,530.0,80.0,363.0,100.0,396.0,84.0,8996.0,0.0,10076.0
0,86,220.0,84.0,69,152.0,348.0,7407.0,6567.0,530.0,78.0,366.0,80.0,396.0,78.0,8970.0,0.0,9750.0
0,78,260.0,80.0,72,144.0,368.0,6990.0,6720.0,540.0,78.0,348.0,78.0,396.0,78.0,6840.0,0.0,10074.0
0,88,220.0,82.0,72,132.0,416.0,6960.0,6453.0,530.0,80.0,369.0,76.0,396.0,84.0,7110.0,0.0,9750.0
0,100,230.0,82.0,69,208.0,368.0,6780.0,6633.0,540.0,100.0,441.0,78.0,396.0,78.0,6840.0,0.0,9749.0
1,98,220.0,82.0,72,152.0,376.0,6567.0,6687.0,540.0,98.0,336.0,100.0,309.0,100.0,6960.0,0.0,10074.0
0,88,210.0,92.0,72,150.0,392.0,6840.0,6480.0,530.0,80.0,384.0,76.0,396.0,82.0,7115.0,0.0,10076.0
1,86,210.0,86.0,77,158.0,360.0,6747.0,6660.0,530.0,98.0,459.0,94.0,396.0,84.0,6930.0,0.0,10076.0
0,88,220.0,84.0,72,138.0,368.0,6927.0,6540.0,530.0,80.0,477.0,78.0,396.0,86.0,6875.0,0.0,10073.0
0,88,210.0,84.0,72,160.0,376.0,6807.0,6453.0,540.0,80.0,390.0,80.0,306.0,84.0,7200.0,0.0,9750.0
0,86,210.0,86.0,69,138.0,384.0,6660.0,6420.0,540.0,80.0,339.0,78.0,378.0,84.0,7110.0,0.0,10075.0
0,86,220.0,84.0,69,186.0,352.0,7440.0,6600.0,530.0,78.0,582.0,86.0,399.0,84.0,6930.0,0.0,9751.0
0,94,220.0,80.0,69,142.0,368.0,6720.0,6633.0,540.0,88.0,423.0,82.0,396.0,88.0,6815.0,0.0,10075.0
0,100,220.0,90.0,69,178.0,332.0,7047.0,6513.0,530.0,78.0,342.0,76.0,348.0,82.0,6810.0,0.0,9750.0
0,86,210.0,84.0,69,182.0,372.0,7020.0,6447.0,730.0,78.0,423.0,78.0,396.0,84.0,7260.0,0.0,10074.0
0,94,230.0,84.0,72,150.0,368.0,6660.0,6573.0,550.0,80.0,345.0,96.0,396.0,84.0,7080.0,0.0,9750.0
0,100,210.0,86.0,69,184.0,336.0,6990.0,6513.0,520.0,80.0,321.0,78.0,396.0,84.0,6840.0,0.0,9750.0
0,86,230.0,84.0,69,148.0,368.0,6807.0,6507.0,530.0,78.0,414.0,78.0,381.0,86.0,6810.0,0.0,9751.0
0,88,210.0,84.0,69,178.0,400.0,6927.0,6447.0,540.0,80.0,423.0,78.0,369.0,84.0,7165.0,0.0,10076.0
0,84,230.0,84.0,72,208.0,340.0,6960.0,6447.0,530.0,80.0,303.0,78.0,306.0,84.0,7265.0,0.0,10076.0
0,92,210.0,84.0,74,174.0,380.0,6900.0,6453.0,540.0,78.0,423.0,78.0,399.0,78.0,7290.0,0.0,10076.0
0,86,190.0,84.0,72,216.0,372.0,7140.0,6573.0,530.0,76.0,351.0,72.0,366.0,84.0,8970.0,0.0,9750.0
0,88,210.0,90.0,69,150.0,384.0,6960.0,6447.0,530.0,78.0,333.0,78.0,396.0,86.0,7140.0,0.0,10075.0
0,88,210.0,90.0,72,166.0,384.0,6807.0,6480.0,540.0,78.0,423.0,80.0,387.0,84.0,6990.0,0.0,10074.0
1,88,210.0,80.0,69,140.0,360.0,6747.0,6720.0,530.0,78.0,384.0,76.0,399.0,98.0,7290.0,0.0,10076.0
0,86,210.0,84.0,69,154.0,384.0,6687.0,6453.0,530.0,78.0,378.0,78.0,381.0,84.0,7084.0,0.0,10077.0
0,86,210.0,82.0,72,150.0,384.0,6987.0,6453.0,530.0,74.0,348.0,78.0,396.0,84.0,7140.0,0.0,10075.0
0,88,220.0,84.0,72,154.0,408.0,6840.0,6453.0,530.0,80.0,417.0,80.0,396.0,84.0,6985.0,0.0,10076.0
1,88,220.0,92.0,69,146.0,352.0,7407.0,6540.0,530.0,78.0,366.0,80.0,396.0,78.0,8970.0,0.0,10075.0
0,80,250.0,82.0,69,146.0,372.0,6480.0,6507.0,530.0,96.0,510.0,80.0,396.0,86.0,7080.0,0.0,10075.0
0,88,210.0,84.0,69,134.0,380.0,7473.0,6420.0,540.0,80.0,372.0,78.0,396.0,84.0,7140.0,0.0,10074.0
0,88,210.0,78.0,69,136.0,368.0,7167.0,6540.0,530.0,78.0,438.0,76.0,396.0,76.0,8970.0,0.0,10074.0
0,100,230.0,88.0,69,172.0,412.0,6837.0,6480.0,530.0,78.0,597.0,78.0,369.0,100.0,6985.0,0.0,10075.0
0,98,210.0,88.0,74,172.0,348.0,6987.0,6540.0,530.0,78.0,393.0,78.0,396.0,84.0,6780.0,0.0,9750.0
0,98,210.0,88.0,69,200.0,332.0,6993.0,6513.0,530.0,80.0,324.0,98.0,396.0,82.0,6840.0,0.0,10074.0
0,86,210.0,82.0,72,150.0,384.0,6987.0,6453.0,530.0,78.0,339.0,78.0,396.0,86.0,7140.0,0.0,9750.0
0,86,210.0,84.0,69,150.0,384.0,6840.0,6453.0,540.0,80.0,393.0,80.0,399.0,86.0,7225.0,0.0,10074.0
0,86,220.0,84.0,77,194.0,352.0,6687.0,6567.0,540.0,78.0,405.0,78.0,396.0,84.0,7015.0,0.0,10076.0
0,86,220.0,90.0,69,140.0,368.0,7467.0,6600.0,530.0,80.0,402.0,100.0,396.0,84.0,6874.0,0.0,9750.0
0,86,250.0,84.0,63,136.0,384.0,7017.0,6480.0,530.0,78.0,372.0,80.0,306.0,78.0,7016.0,0.0,9750.0
0,86,220.0,88.0,74,190.0,332.0,7020.0,6513.0,540.0,80.0,393.0,76.0,396.0,84.0,7110.0,0.0,10074.0
1,86,210.0,88.0,69,152.0,356.0,6687.0,6627.0,530.0,86.0,543.0,76.0,399.0,84.0,6870.0,0.0,10640.0
0,78,230.0,80.0,69,138.0,368.0,6720.0,6627.0,540.0,78.0,429.0,94.0,369.0,88.0,6840.0,0.0,10075.0
0,88,220.0,85.0,69,136.0,392.0,6807.0,6480.0,540.0,80.0,384.0,76.0,396.0,82.0,7115.0,0.0,10076.0
0,88,220.0,92.0,69,146.0,352.0,7407.0,6540.0,530.0,78.0,351.0,78.0,396.0,84.0,8970.0,0.0,10075.0
0,88,220.0,84.0,72,140.0,384.0,7380.0,6420.0,530.0,78.0,393.0,80.0,345.0,98.0,7140.0,0.0,9750.0
0,88,210.0,84.0,69,162.0,364.0,6807.0,6507.0,530.0,80.0,342.0,90.0,396.0,82.0,6960.0,0.0,10075.0
0,85,220.0,84.0,69,148.0,356.0,6687.0,6600.0,540.0,80.0,411.0,80.0,396.0,84.0,6960.0,0.0,9750.0
0,88,250.0,84.0,69,164.0,384.0,6873.0,6420.0,540.0,78.0,372.0,78.0,399.0,86.0,7170.0,0.0,10074.0
0,88,220.0,88.0,69,154.0,352.0,7620.0,6600.0,540.0,80.0,306.0,78.0,309.0,82.0,6750.0,0.0,9750.0
0,86,220.0,91.0,69,162.0,348.0,7380.0,6513.0,530.0,78.0,348.0,78.0,399.0,86.0,8945.0,0.0,10073.0
0,88,260.0,84.0,69,162.0,348.0,6900.0,6420.0,540.0,78.0,393.0,78.0,390.0,78.0,7084.0,0.0,10076.0
0,86,220.0,86.0,72,148.0,352.0,7440.0,6507.0,530.0,78.0,348.0,78.0,399.0,86.0,8945.0,0.0,10074.0
0,86,210.0,84.0,69,498.0,384.0,6873.0,6453.0,530.0,80.0,402.0,98.0,396.0,84.0,7140.0,0.0,9750.0
0,78,230.0,80.0,69,192.0,348.0,6780.0,6600.0,530.0,88.0,369.0,100.0,396.0,88.0,6840.0,0.0,9751.0
0,86,250.0,84.0,69,152.0,356.0,6867.0,6447.0,540.0,78.0,393.0,78.0,390.0,78.0,7084.0,0.0,10075.0
0,86,210.0,82.0,69,130.0,356.0,7047.0,6453.0,530.0,84.0,393.0,78.0,306.0,86.0,7020.0,0.0,9750.0
0,78,230.0,78.0,69,134.0,368.0,6780.0,6627.0,540.0,80.0,372.0,78.0,378.0,100.0,6810.0,0.0,9751.0
0,87,200.0,88.0,75,150.0,352.0,7113.0,6480.0,540.0,82.0,387.0,78.0,324.0,86.0,7110.0,0.0,10074.0
0,86,210.0,84.0,69,156.0,376.0,6873.0,6420.0,540.0,84.0,327.0,80.0,312.0,90.0,6750.0,0.0,9750.0
0,100,230.0,88.0,69,172.0,412.0,6837.0,6480.0,530.0,78.0,417.0,98.0,342.0,84.0,7140.0,0.0,10074.0
0,88,220.0,84.0,69,140.0,364.0,6690.0,6507.0,530.0,76.0,393.0,78.0,396.0,82.0,6930.0,0.0,10076.0
0,88,210.0,82.0,72,162.0,384.0,6900.0,6513.0,540.0,78.0,375.0,76.0,309.0,84.0,7170.0,0.0,9750.0
0,88,210.0,84.0,66,158.0,384.0,6840.0,6447.0,530.0,80.0,390.0,80.0,306.0,84.0,7200.0,0.0,10076.0
0,86,200.0,86.0,71,150.0,384.0,6927.0,6453.0,540.0,78.0,432.0,78.0,396.0,84.0,7114.0,0.0,9750.0
0,88,220.0,84.0,72,138.0,380.0,7380.0,6453.0,530.0,80.0,369.0,78.0,393.0,80.0,7110.0,0.0,9750.0
0,76,260.0,78.0,69,138.0,336.0,6780.0,6633.0,540.0,80.0,372.0,78.0,378.0,98.0,6810.0,0.0,10077.0
0,88,210.0,84.0,69,180.0,380.0,6900.0,6480.0,530.0,78.0,336.0,78.0,399.0,84.0,7140.0,0.0,10075.0
