JUDGE,LOT_ID,PANEL_ID,TAT_4DIELEC_FIRE,TAT_3BUS_2FIRE,TAT_2AG_1PRINT,AG_RTD_TEMP_WALL_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,DIELEC_FIRE_EXHAUST_HEAT5,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_4DIELEC_1FIRE
양품,LOT-101,PNL-01,6447.0,6900.0,83.0,76.0,434.0,41.3,60.5415,23.4962,30.7528,3283.0,1호기,1호기,3호기
양품,LOT-101,PNL-02,6600.0,6693.0,84.0,77.9,339.8,45.6,63.1393,23.4202,30.8,3971.0,1호기,1호기,3호기
양품,LOT-101,PNL-03,6597.0,6747.0,78.0,77.0,347.0,43.6,63.5,23.1387,30.6935,3324.0,1호기,1호기,3호기
양품,LOT-101,PNL-04,6420.0,7137.0,84.0,77.8,438.1,45.1,64.2202,23.3758,30.6909,3306.0,1호기,1호기,3호기
양품,LOT-101,PNL-05,6453.0,7527.0,84.0,77.8,398.4,45.7,60.5579,23.3579,31.0316,3900.0,1호기,1호기,3호기
양품,LOT-101,PNL-06,6660.0,6747.0,80.0,76.0,371.0,40.6,60.5988,23.1977,30.8233,4243.0,1호기,1호기,3호기
양품,LOT-101,PNL-07,6480.0,7113.0,88.0,77.0,393.4,46.0,64.8,23.5,31.3356,3775.0,1호기,1호기,3호기
양품,LOT-101,PNL-08,6480.0,7113.0,88.0,77.0,393.4,46.0,64.8,23.5,31.3356,3775.0,1호기,1호기,3호기
양품,LOT-101,PNL-09,6453.0,7107.0,85.0,77.0,365.3,45.6,62.4821,23.5,31.3762,3338.0,1호기,1호기,3호기
양품,LOT-101,PNL-10,6453.0,6993.0,86.0,78.9,321.7,44.9,64.0333,23.4125,30.7,3336.0,1호기,1호기,3호기
양품,LOT-101,PNL-11,6513.0,6867.0,84.0,77.8,435.9,39.7,59.8784,23.5,30.7876,3801.0,1호기,1호기,3호기
양품,LOT-101,PNL-12,6600.0,6687.0,84.0,77.6,419.6,46.1,60.1798,23.4043,30.8,3952.0,1호기,1호기,3호기
명점,LOT-101,PNL-13,6540.0,6780.0,84.0,79.0,339.6,44.7,62.065,23.1,31.6,3206.0,1호기,1호기,3호기
양품,LOT-101,PNL-14,6513.0,6840.0,84.0,77.1,400.8,46.0,60.3333,23.5,30.7979,3864.0,1호기,1호기,3호기
양품,LOT-101,PNL-15,6573.0,7440.0,82.0,77.4,440.2,45.1,63.0791,23.4,30.9132,3355.0,1호기,1호기,3호기
양품,LOT-101,PNL-16,6567.0,7407.0,84.0,78.0,421.2,43.0,61.4966,23.4,31.0977,3824.0,1호기,1호기,3호기
양품,LOT-101,PNL-17,6720.0,6990.0,80.0,81.8,355.4,43.5,62.238,23.3478,31.1,3293.0,1호기,1호기,3호기
양품,LOT-101,PNL-18,6453.0,6960.0,82.0,77.9,379.7,45.1,61.4,23.5,30.7257,3896.0,1호기,1호기,3호기
양품,LOT-101,PNL-19,6633.0,6780.0,82.0,78.1,410.2,43.5,63.3,23.2,31.2,3244.0,1호기,1호기,3호기
명점,LOT-101,PNL-20,6687.0,6567.0,82.0,79.0,327.9,44.7,61.68,23.3105,32.0,3821.0,1호기,1호기,3호기
양품,LOT-102,PNL-01,6480.0,6840.0,92.0,76.8,423.8,47.0,61.1891,23.4891,30.5406,3811.0,1호기,1호기,3호기
명점,LOT-102,PNL-02,6660.0,6747.0,86.0,79.3,333.7,45.6,60.089,23.4011,31.1407,3229.0,1호기,1호기,3호기
양품,LOT-102,PNL-03,6540.0,6927.0,84.0,76.9,376.2,45.1,62.3553,23.4191,31.0362,3925.0,1호기,1호기,3호기
양품,LOT-102,PNL-04,6453.0,6807.0,84.0,78.0,333.0,44.4,60.9551,23.4831,31.4,3898.0,1호기,1호기,3호기
양품,LOT-102,PNL-05,6420.0,6660.0,86.0,78.0,350.5,46.6,62.748999999999995,23.398000000000003,30.8,3271.0,1호기,1호기,3호기
양품,LOT-102,PNL-06,6600.0,7440.0,84.0,77.2,326.9,47.2,60.3093,23.4,31.2,3898.0,1호기,1호기,3호기
양품,LOT-102,PNL-07,6633.0,6720.0,80.0,79.0,364.6,43.5,61.7,23.1151,31.0,3863.0,1호기,1호기,3호기
양품,LOT-102,PNL-08,6513.0,7047.0,90.0,78.0,436.0,45.9,60.2326,23.4,31.3395,3867.0,1호기,1호기,3호기
양품,LOT-102,PNL-09,6447.0,7020.0,84.0,76.1,326.1,38.5,60.4634,23.4602,31.4,4087.0,1호기,1호기,3호기
양품,LOT-102,PNL-10,6573.0,6660.0,84.0,78.0,376.7,39.2,61.4723,23.4,30.8,3917.0,1호기,1호기,3호기
양품,LOT-102,PNL-11,6513.0,6990.0,86.0,78.3,437.3,40.6,61.5624,23.4024,30.9435,3338.0,1호기,1호기,3호기
양품,LOT-102,PNL-12,6507.0,6807.0,84.0,78.9,442.1,39.2,62.3625,23.426,31.1,3346.0,1호기,1호기,3호기
양품,LOT-102,PNL-13,6447.0,6927.0,84.0,78.0,353.8,46.5,61.4,23.5,30.4,3325.0,1호기,1호기,3호기
양품,LOT-102,PNL-14,6447.0,6960.0,84.0,78.0,388.3,46.4,60.3464,23.5024,31.3964,3941.0,1호기,1호기,3호기
양품,LOT-102,PNL-15,6453.0,6900.0,84.0,78.1,361.1,40.4,61.4289,23.4186,30.8907,3269.0,1호기,1호기,3호기
양품,LOT-102,PNL-16,6507.0,7347.0,78.0,80.0,357.3,38.5,64.6435,23.325,31.031999999999996,3774.0,1호기,1호기,3호기
양품,LOT-102,PNL-17,6573.0,7140.0,84.0,77.5,411.5,42.5,63.8043,23.4032,31.0021,3337.0,1호기,1호기,3호기
양품,LOT-102,PNL-18,6447.0,6960.0,90.0,78.0,346.8,45.8,60.8832,23.4168,30.6884,3289.0,1호기,1호기,3호기
양품,LOT-102,PNL-19,6480.0,6807.0,90.0,77.0,366.2,44.3,60.3,23.5,30.474,3351.0,1호기,1호기,3호기
양품,LOT-102,PNL-20,6507.0,7080.0,88.0,77.0,384.8,39.7,62.3181,23.5,31.3755,3932.0,1호기,1호기,3호기
명점,LOT-103,PNL-01,6720.0,6747.0,80.0,78.0,320.0,49.0,61.2,23.5,31.9,3744.0,1호기,2호기,2호기
