LOT_ID,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_7PASTE,TAT_8AGING,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_PH_TANK1,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_PH_TANK1 2,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_PH_TANK1 3,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES1,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_HEAT1_CH01,BUS_FIRE_TEMP_HEAT1_CH02,BUS_FIRE_TEMP_HEAT1_CH03,BUS_FIRE_TEMP_HEAT2_CH01,BUS_FIRE_TEMP_HEAT2_CH02,BUS_FIRE_TEMP_HEAT2_CH03,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_TEMP_HEAT1_CH01,DIELEC_FIRE_TEMP_HEAT1_CH02,DIELEC_FIRE_TEMP_HEAT1_CH03,DIELEC_FIRE_TEMP_HEAT2_CH01,DIELEC_FIRE_TEMP_HEAT2_CH02,DIELEC_FIRE_TEMP_HEAT2_CH03,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_KEEP_CH02,DIELEC_FIRE_TEMP_KEEP_CH03,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_HEAT_CH01,PHOS_FIRE_TEMP_HEAT_CH02,PHOS_FIRE_TEMP_HEAT_CH03,PHOS_FIRE_TEMP_HEAT_CH04,PHOS_FIRE_TEMP_KEEP_CH01,PHOS_FIRE_TEMP_KEEP_CH02,PHOS_FIRE_TEMP_KEEP_CH03,PHOS_FIRE_TEMP_KEEP_CH04,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4,ºÒ·®·ü
LOT-101,86.35,219.0,83.4,71.15,155.8,373.2,6969.75,6542.1,534.5,81.6,389.25,81.6,377.4,84.4,7190.6,0.0,9989.5,44.55,105.54,89.08500000000001,114.89000000000001,212.85999999999999,152.02999999999997,58.745000000000005,93.305,95.93999999999998,46.125,138.25,77.80499999999999,101.7,337.975,386.63,44.290000000000006,92.455,92.875,23.581055000000003,60.86561500000001,61.36155999999998,62.21616500000001,-0.33,23.378079999999997,9.199719999999996,31.02808,6.551125000000001,34.26887,0.0,2.02925,2.0279750000000005,163.95,190.0,211.85,261.0,286.95,329.95,568.6,582.75,598.55,573.1,538.5,517.6,296.15,342.15,348.9,454.05,452.8,472.85,571.4,572.8,581.95,574.1,555.45,534.6,2094.6,2178.4,2693.05,3409.95,3625.35,3144.7,3060.9,47.365,135.82,107.80000000000003,166.68,86.25,72.81,27.645000000000003,120.54,153.66199999999998,47.209999999999994,139.675,109.72000000000003,188.89999999999998,56.31,29.044999999999998,33.28999999999999,82.30499999999999,83.445,393.05,405.0,420.0,439.9,480.2,480.15,480.1,475.0,443.4,419.9,392.05,371.45,3870.45,4030.8,4479.05,2544.55,0.1
LOT-102,89.0,214.0,85.3,71.0,167.7,369.0,6939.3,6510.0,544.0,80.2,393.15,79.85,375.0,83.8,7131.75,0.0,9961.4,44.21,107.68999999999998,88.965,114.785,195.56,176.27500000000003,59.135000000000005,93.385,96.19999999999999,45.519999999999996,138.3,77.905,101.93,355.33500000000004,374.83500000000004,43.34499999999999,92.33500000000001,92.75000000000001,23.538240000000002,60.94276000000001,61.674580000000006,61.52822,-0.33,23.418005,9.199684999999999,30.997980000000002,6.54871,34.22542,0.0,2.02921,2.035125,163.85,190.0,212.15,261.0,287.0,330.0,569.4,583.0,599.25,573.15,540.1,517.85,295.95,342.3,348.8,454.25,453.15,473.1,571.85,573.15,582.05,573.65,554.35,534.35,2109.1,2170.15,2754.95,3380.7,3633.4,3128.3,3068.35,47.184999999999995,135.78000000000003,107.54,166.53500000000003,86.62499999999999,72.92,27.755000000000003,121.92,154.37600000000003,46.975,139.77,109.94500000000001,188.805,54.919999999999995,29.865000000000002,33.67999999999999,82.4,83.41499999999999,393.1,404.95,419.95,440.05,480.2,480.15,480.0,475.0,443.55,419.95,392.15,370.9,3924.35,4034.4,4471.55,2537.2,0.05
LOT-103,88.9,219.0,85.2,70.05,158.95,368.0,6958.2,6513.6,532.5,79.7,404.25,80.3,389.85,84.1,7230.95,0.0,10022.05,43.87,107.495,88.79,114.89500000000001,200.64499999999995,162.555,59.165000000000006,93.78999999999999,96.54499999999999,45.56,138.255,78.33000000000001,101.695,347.565,380.27,44.26,93.865,94.30499999999999,23.5218525,61.20969,61.81845,62.17938,-0.33,23.421525000000003,9.1996,31.031800000000004,6.548799999999998,34.178035,0.0,2.0293650000000003,2.029255,163.55,190.0,211.85,260.95,286.95,329.95,568.4,581.8,598.1,573.55,541.9,519.2,296.15,342.2,348.9,454.05,452.8,472.8,571.35,572.75,581.95,573.35,553.25,533.55,2075.2,2187.0,2902.25,3463.6,3491.4,3163.95,3104.3,47.215,135.745,107.85499999999999,166.50499999999997,86.52000000000001,72.38000000000002,27.404999999999994,119.175,152.714,47.33,139.85,109.675,188.85999999999996,55.675,30.35,33.025,82.405,83.39,393.05,404.9,420.1,440.05,480.2,480.2,480.15,475.05,443.55,420.5,392.25,371.25,3904.5,4037.25,4450.05,2549.55,0.15
LOT-104,87.35,224.5,84.9,69.15,186.1,361.8,7002.75,6505.05,534.75,79.6,377.55,82.6,376.575,85.2,7278.95,0.0,9968.45,43.91000000000001,103.66,89.02499999999999,114.69499999999998,204.63500000000002,162.735,58.56,93.50999999999999,96.275,45.545,138.0,78.05000000000001,101.73500000000001,354.3349999999999,367.7099999999999,44.045,93.69000000000003,94.33500000000001,23.489750000000004,60.98349,62.02746500000001,62.405334999999994,-0.33,23.338655,9.199749999999998,30.95594,6.550879999999999,33.95649,0.0,2.027295,2.03967,163.9,190.0,212.0,260.9,286.9,329.8,569.05,582.55,598.25,572.85,541.25,518.4,296.25,342.4,349.125,454.225,452.9,472.975,571.475,573.0,581.95,573.425,553.675,533.6,2074.875,2166.65,2786.3,3399.45,3597.775,3157.5,3079.975,47.175,135.815,107.91000000000001,166.495,86.05000000000001,72.73500000000001,28.044999999999998,118.725,154.28500000000003,46.977500000000006,139.54500000000002,108.81499999999998,188.04999999999998,54.92999999999999,29.597499999999997,33.3125,81.93999999999998,82.98499999999999,393.35,405.1,420.1,440.45,480.3,480.15,480.1,475.1,443.5,420.0,391.9,371.0,3862.3,4057.3,4476.45,2558.3,0.0
LOT-105,87.35,222.5,84.8,70.2,155.5,372.0,6944.7,6495.9,534.5,76.45,381.75,75.0,354.75,80.8,7050.0,0.0,9953.25,44.135000000000005,107.50999999999999,89.13499999999999,114.785,197.65000000000003,157.435,58.785000000000004,93.26999999999998,96.085,45.76,138.2,78.07499999999999,101.86500000000001,349.63500000000005,378.56,44.470000000000006,93.09,93.495,23.516979999999997,60.901210000000006,61.549255,62.58433499999999,-0.33,23.439515000000004,9.19969,30.98678,6.55128,34.31668499999999,0.0,2.0279000000000003,2.0317499999999997,164.15,190.0,211.85,261.0,287.0,329.9,570.65,583.4,599.75,573.4,539.9,517.9,295.9,342.05,349.05,453.9,452.75,472.85,571.6,572.9,581.95,573.5,553.85,533.7,2085.9,2186.7,2849.55,3420.2,3570.8,3139.8,3109.55,47.3375,135.935,109.075,166.83,85.815,72.57249999999999,28.0825,126.41750000000002,154.82,47.38249999999999,139.91750000000002,109.7,188.81750000000002,55.9175,29.552500000000002,34.480000000000004,82.36249999999998,83.3925,393.1,405.1,419.925,440.075,479.975,480.1,480.0,475.05,443.225,419.55,391.425,370.875,3825.025,4061.85,4458.2,2566.525,0.1
LOT-106,86.7,219.5,83.15,71.4,149.0,372.2,7004.85,6497.55,524.5,80.7,424.05,81.0,385.5,85.5,7123.95,0.0,9961.0,44.55500000000001,106.24499999999998,89.21000000000001,115.06500000000001,191.355,168.63999999999996,58.80000000000001,93.95499999999998,96.68499999999997,45.9,138.305,78.16499999999999,102.14,350.92500000000007,378.985,44.17,92.94,93.635,23.500194999999998,60.37854500000001,62.138275,62.493309999999994,-0.33,23.412215,9.199739999999998,31.095234999999995,6.549774999999999,34.180944999999994,0.0,2.0286,2.0300000000000002,163.9,190.0,212.1,260.9,286.95,329.95,569.05,582.15,598.45,573.5,540.5,518.4,296.05,342.05,349.0,454.1,452.8,472.75,571.9,572.8,581.85,572.55,554.25,534.5,2063.65,2181.4,2839.15,3472.95,3541.15,3173.5,3070.7,47.5325,135.8725,108.50249999999998,166.84499999999997,86.28,72.97749999999999,27.027499999999996,125.14500000000001,155.4625,47.08,139.74499999999998,109.375,188.64500000000004,56.239999999999995,29.939999999999998,32.84,82.005,83.08,393.1,404.85,420.1,440.35,479.875,479.925,480.0,475.0,444.375,420.55,392.35,371.175,3830.05,4052.6,4488.675,2564.0,0.0
LOT-107,88.2,232.0,85.2,70.1,158.6,358.8,7008.9,6645.6,534.5,79.1,397.8,81.7,368.4,84.4,7279.7,0.0,10010.1,43.925,107.49000000000001,89.00000000000001,114.78,213.15,156.655,58.870000000000005,93.41999999999999,96.16,45.550000000000004,138.05,77.79999999999998,101.81,346.35,391.075,44.10500000000001,92.91499999999999,93.33,23.546775,60.604175,61.264115000000004,61.870075,-0.33,23.379350000000002,9.199605,31.02,6.549754999999999,33.97265499999999,0.0,2.0283050000000005,2.040895,163.75,190.0,212.05,261.05,286.95,330.05,566.8,581.2,597.2,572.85,540.75,518.35,295.75,341.95,348.85,454.1,452.7,472.9,572.5,572.85,581.95,574.05,555.5,534.5,2126.9,2167.8,2565.1,3332.05,3759.4,3126.0,3011.85,47.239999999999995,135.815,109.11999999999998,167.12,86.29,73.25999999999999,27.78,135.405,155.01999999999998,47.019999999999996,139.51999999999995,108.165,187.47,54.995000000000005,29.134999999999998,33.86,81.68499999999999,82.825,392.85,404.8,419.75,440.0,480.2,480.1,480.15,475.05,443.25,419.9,391.85,370.85,3738.55,4063.2,4472.55,2572.4,0.05
LOT-108,87.95,216.5,83.35,70.0,150.0,370.0,6946.35,6476.925,534.0,76.2,392.85,76.3,375.9,81.8,7159.95,0.0,10009.9,44.160000000000004,107.44999999999997,88.85500000000002,114.83500000000004,189.725,180.73,58.87999999999998,93.355,96.08500000000001,46.23,138.3,78.24,101.64500000000001,353.44999999999993,380.91999999999996,43.95499999999999,93.14,93.53,23.50696,60.744515,61.862365,61.992735,-0.33,23.365180000000002,9.199774999999999,30.926470000000002,6.549465,34.055189999999996,0.0,2.026695,2.03171,163.8,190.0,212.1,261.0,287.0,330.0,568.85,582.35,598.5,572.8,540.55,518.75,295.75,342.0,349.0,454.175,452.9,473.0,572.125,572.975,581.975,572.325,554.25,534.2,2080.55,2197.325,2775.375,3425.2,3656.6,3135.3,3088.75,46.955,135.84499999999997,107.96999999999998,167.10499999999996,86.34500000000001,73.2,27.57,128.00500000000002,154.93500000000003,47.035,139.71499999999997,109.41000000000001,188.61500000000004,57.144999999999996,30.175,33.535,81.875,83.02,393.0,405.0,419.95,440.05,480.1,480.05,480.0,475.0,443.65,420.0,392.05,371.25,3916.95,4044.7,4460.4,2549.55,0.0
LOT-109,86.15,215.5,83.6,70.25,148.6,369.8,6940.35,6523.65,534.0,82.4,410.1,82.85,370.5,85.1,7230.5,0.0,9896.4,44.239999999999995,108.3,88.845,114.77000000000001,199.83499999999998,175.195,58.77,93.255,96.11000000000001,45.755,138.0,77.72,101.87499999999999,355.05500000000006,394.485,43.660000000000004,93.27000000000001,93.85000000000001,23.50979,61.00273,62.055265000000006,62.415045,-0.33,23.349255000000003,9.199769999999997,31.015355,6.54846,34.31388999999999,0.0,2.028045,2.032805,163.45,190.0,212.05,261.15,287.15,330.2,570.2,583.5,599.75,572.15,539.15,516.55,296.1,342.3,349.05,454.05,453.075,472.975,571.175,573.1,582.15,573.35,553.525,534.1,2055.95,2165.675,2865.9,3367.025,3551.6,3124.35,3100.2,47.440000000000005,135.895,108.26000000000002,166.86499999999998,87.495,73.33500000000001,27.349999999999994,128.98999999999998,156.02999999999997,47.385000000000005,140.04500000000002,110.22999999999999,189.15,55.285000000000004,29.365000000000002,34.00999999999999,82.235,83.3,392.95,404.825,419.925,439.975,479.925,479.8,479.75,475.0,443.725,419.95,392.3,371.275,3852.0,4046.325,4450.675,2549.6,0.05
LOT-110,85.3,225.0,82.8,69.85,155.2,370.8,6913.05,6541.2,535.0,81.55,414.825,81.8,376.05,85.3,7181.15,0.0,10026.4,44.495,106.88,89.48,115.03999999999999,198.16000000000003,154.24000000000004,58.959999999999994,93.53999999999999,96.445,45.894999999999996,138.15,78.365,102.07999999999998,358.75000000000006,383.935,44.08,92.66,93.19500000000001,23.474080000000004,61.399564999999996,62.33943000000001,63.01101000000001,-0.33,23.3417,9.199784999999999,31.128735,6.549285,33.945065,0.0,2.0271300000000005,2.0331199999999994,163.8,190.0,212.15,261.1,287.1,329.9,569.4,583.15,599.15,572.5,539.75,517.7,296.0,342.25,349.05,454.25,453.15,473.05,571.9,573.0,582.1,573.35,554.55,534.0,2095.0,2149.65,2663.55,3376.9,3614.05,3094.5,3022.3,47.2275,135.84750000000003,107.7175,166.86,87.08,72.5925,27.3975,138.555,154.44,46.847500000000004,139.53500000000003,108.92,188.1025,54.0025,29.767500000000002,33.22,82.07750000000001,83.1625,392.95,404.95,419.95,440.0,480.05,480.0,480.0,474.95,443.55,420.35,392.3,371.3,3901.45,4038.15,4450.9,2544.75,0.1
