LOT_ID,명점,양품,불량률,MC_1BLACK_1PRINT,MC_1BLACK_2RTD,MC_2AG_1PRINT,MC_2AG_2RTD,MC_2AG_3EXPOSURE,MC_3BUS_1DEVELOP,MC_3BUS_2FIRE,MC_4DIELEC_1FIRE,MC_5MGO,MC_6PHOS_1R_1DISPENSER,MC_6PHOS_1R_2DRY,MC_6PHOS_2G_1DISPENSER,MC_6PHOS_2G_2DRY,MC_6PHOS_3B_1DISPENSER,MC_6PHOS_4FIRE,MC_7PASTE,MC_8AGING
LOT-101,2,18,10%,2호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기
LOT-102,1,19,5%,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,2호기,1호기,2호기,1호기,1호기,2호기,3호기,2호기,2호기
LOT-103,3,17,15%,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,1호기,2호기,1호기,1호기,2호기,2호기
LOT-104,0,20,0%,1호기,1호기,2호기,2호기,1호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기
LOT-105,2,18,10%,2호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,2호기,1호기
LOT-106,0,20,0%,1호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,1호기,2호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기
LOT-107,1,19,5%,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,3호기,1호기,1호기
LOT-108,0,20,0%,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,2호기
LOT-109,1,19,5%,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,1호기,1호기
LOT-110,2,18,10%,1호기,2호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기
LOT-111,2,18,10%,2호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,2호기,2호기,3호기,2호기,1호기
LOT-112,1,19,5%,1호기,1호기,1호기,2호기,1호기,2호기,2호기,3호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기
LOT-113,0,20,0%,2호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기,1호기,1호기
LOT-114,1,19,5%,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,3호기,1호기,1호기
LOT-115,1,19,5%,1호기,2호기,1호기,1호기,1호기,2호기,1호기,3호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기
LOT-116,0,20,0%,1호기,1호기,1호기,2호기,2호기,2호기,1호기,3호기,2호기,1호기,2호기,1호기,1호기,1호기,2호기,1호기,1호기
LOT-117,1,19,5%,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,1호기,2호기,2호기,2호기,1호기,3호기,2호기,2호기
LOT-118,1,19,5%,2호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기
LOT-119,1,19,5%,1호기,2호기,2호기,1호기,1호기,1호기,2호기,3호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기,1호기
LOT-120,2,18,10%,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,1호기,2호기,1호기,2호기,1호기,2호기,2호기
LOT-121,2,18,10%,1호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,2호기,1호기,2호기,2호기,2호기,3호기,1호기,2호기
LOT-122,1,19,5%,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기
LOT-123,2,18,10%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,2호기,3호기,1호기,2호기
LOT-124,0,20,0%,2호기,1호기,2호기,2호기,2호기,2호기,1호기,3호기,1호기,1호기,1호기,2호기,1호기,1호기,1호기,1호기,1호기
LOT-125,2,18,10%,1호기,1호기,2호기,1호기,2호기,1호기,2호기,3호기,1호기,1호기,1호기,2호기,1호기,2호기,3호기,1호기,1호기
LOT-126,1,19,5%,2호기,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,1호기,1호기,3호기,1호기,1호기
LOT-127,3,17,15%,2호기,1호기,1호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,1호기,1호기,3호기,1호기,1호기
LOT-128,1,19,5%,2호기,1호기,2호기,1호기,2호기,1호기,1호기,3호기,2호기,1호기,1호기,2호기,1호기,1호기,3호기,2호기,2호기
LOT-129,0,20,0%,2호기,1호기,1호기,2호기,1호기,2호기,1호기,3호기,1호기,2호기,2호기,1호기,1호기,2호기,1호기,2호기,2호기
LOT-130,3,17,15%,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기,1호기,2호기
LOT-131,2,18,10%,2호기,2호기,2호기,1호기,1호기,1호기,1호기,3호기,2호기,1호기,2호기,2호기,2호기,2호기,2호기,2호기,1호기
LOT-132,2,18,10%,1호기,2호기,2호기,1호기,1호기,1호기,2호기,3호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,2호기,1호기
LOT-133,2,18,10%,2호기,1호기,1호기,1호기,2호기,2호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,2호기,2호기,1호기,2호기
LOT-134,2,18,10%,1호기,1호기,2호기,2호기,1호기,1호기,2호기,2호기,2호기,1호기,1호기,1호기,2호기,2호기,1호기,2호기,2호기
LOT-135,3,17,15%,2호기,1호기,2호기,2호기,2호기,1호기,2호기,1호기,1호기,1호기,1호기,2호기,1호기,2호기,3호기,2호기,2호기
